Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,5230,5230,4970,5010,4843.290039,81987
2015-02-23,5010,5080,4950,5070,4901.293457,11626
2015-02-24,5090,5140,5030,5080,4910.960938,15224
2015-02-25,5090,5210,5070,5140,4968.964355,15319
2015-02-26,5140,5330,5080,5310,5133.307617,43671
2015-02-27,5370,5370,5230,5290,5113.973145,20488
2015-03-02,5300,5410,5250,5400,5220.3125,27005
2015-03-03,5310,5500,5310,5440,5258.981934,43069
2015-03-04,5430,5480,5430,5470,5287.983398,17583
2015-03-05,5480,5690,5450,5540,5355.653809,37387
2015-03-06,5520,5760,5470,5630,5442.659668,50466
2015-03-09,5720,5720,5510,5510,5326.652832,17065
2015-03-10,5580,5970,5510,5860,5665.006348,162830
2015-03-11,5710,6020,5700,5850,5655.338867,83519
2015-03-12,5930,5930,5590,5660,5471.661133,37772
2015-03-13,5700,5710,5520,5570,5384.655762,26690
2015-03-16,5640,5690,5500,5650,5461.994141,34753
2015-03-17,5740,5740,5580,5640,5452.32666,10200
2015-03-18,5610,5680,5560,5570,5384.655762,22516
2015-03-19,5570,5630,5550,5620,5432.992188,16711
2015-03-20,5620,5720,5580,5700,5510.330078,16392
2015-03-23,5650,5760,5650,5750,5558.666016,18728
2015-03-24,5750,5780,5690,5690,5500.663086,15973
2015-03-25,5650,5690,5570,5680,5490.995605,18574
2015-03-26,5680,5680,5540,5570,5384.655762,19220
2015-03-27,5620,5630,5480,5560,5374.98877,14021
2015-03-30,5520,5790,5520,5790,5597.335449,44817
2015-03-31,5800,5990,5750,5840,5645.671387,70226
2015-04-01,5890,5900,5740,5770,5578.000977,32653
2015-04-02,5830,5930,5780,5900,5703.675293,36880
2015-04-03,5900,5950,5850,5850,5655.338867,23032
2015-04-06,5870,5990,5810,5900,5703.675293,22675
2015-04-07,5950,6100,5940,5970,5771.345703,55480
2015-04-08,6150,6300,6020,6080,5877.685547,114048
2015-04-09,6130,6150,5890,5920,5723.009277,46546
2015-04-10,5890,5920,5720,5750,5558.666016,72572
2015-04-13,5820,5940,5760,5820,5626.336914,42190
2015-04-14,5770,5880,5760,5840,5645.671387,51034
2015-04-15,5840,6010,5790,5960,5761.678223,60260
2015-04-16,6000,6000,5800,5870,5674.67334,26862
2015-04-17,5920,5920,5730,5750,5558.666016,44431
2015-04-20,5730,5750,5570,5740,5548.999023,40468
2015-04-21,5740,5790,5680,5750,5558.666016,14554
2015-04-22,5750,5800,5630,5780,5587.667969,51797
2015-04-23,5800,5820,5640,5640,5452.32666,25708
2015-04-24,5700,5730,5590,5660,5471.661133,20600
2015-04-27,5660,5710,5590,5670,5481.328125,2948
2015-04-28,5700,5700,5510,5580,5394.323242,37035
2015-04-29,5580,5620,5440,5620,5432.992188,28492
2015-04-30,5620,5760,5530,5640,5452.32666,16807
2015-05-04,5640,5670,5500,5630,5442.659668,5537
2015-05-06,5630,5660,5400,5480,5297.650879,27509
2015-05-07,5470,5500,5380,5460,5278.316406,28560
2015-05-08,5490,5490,5200,5420,5239.647461,14216
2015-05-11,5480,5570,5450,5520,5336.319824,16205
2015-05-12,5550,5580,5430,5520,5336.319824,9253
2015-05-13,5530,5620,5450,5570,5384.655762,13111
2015-05-14,5570,5570,5450,5560,5374.98877,6575
2015-05-15,5560,5560,5440,5540,5355.653809,10607
2015-05-18,5540,5540,5270,5280,5104.305664,23702
2015-05-19,5330,5330,5140,5190,5017.300293,29922
2015-05-20,5240,5270,5150,5180,5007.633301,17521
2015-05-21,5150,5290,5100,5160,4988.299316,29495
2015-05-22,5160,5220,5060,5180,5007.633301,61943
2015-05-26,5180,5350,5150,5280,5104.305664,33053
2015-05-27,5330,5330,5150,5210,5036.635254,27616
2015-05-28,5300,5300,4970,5120,4949.629883,64904
2015-05-29,5130,5880,5120,5350,5171.976563,954696
2015-06-01,5350,5350,5160,5230,5055.969727,83302
2015-06-02,5260,5320,5140,5210,5036.635254,61439
2015-06-03,5200,5510,5200,5330,5152.64209,56348
2015-06-04,5270,5370,5250,5310,5133.307617,27318
2015-06-05,5310,5400,5240,5300,5123.640625,28017
2015-06-08,5260,5590,5250,5550,5365.321777,76665
2015-06-09,5590,5610,5460,5530,5345.986816,27966
2015-06-10,5530,5580,5410,5460,5278.316406,16457
2015-06-11,5500,5520,5410,5460,5278.316406,29569
2015-06-12,5510,5640,5480,5540,5355.653809,49558
2015-06-15,5560,5830,5470,5790,5597.335449,98897
2015-06-16,5770,5800,5560,5610,5423.324707,45853
2015-06-17,5750,5750,5100,5270,5094.638672,214444
2015-06-18,5270,5390,5200,5230,5055.969727,36450
2015-06-19,5230,5250,5150,5210,5036.635254,20809
2015-06-22,5240,5310,5140,5260,5084.971191,23635
2015-06-23,5310,5330,5200,5230,5055.969727,25239
2015-06-24,5310,5350,5220,5340,5162.30957,32129
2015-06-25,5380,5480,5300,5450,5268.648926,36671
2015-06-26,5520,5540,5300,5430,5249.314453,21131
